doc_id,category,BLEU,ROUGE-L,OrigIntent_F1,SIM_F1,LLM_Judge
IND_1,Murder,0.17778896670167652,0.26398491514770583,0.10989010989010989,0.7450980392156863,4
IND_2,Murder,0.13754322138888886,0.22689075630252103,0.12500000000000003,0.6352941176470588,4
IND_3,Murder,0.16447379690090366,0.230980751604033,0.09056603773584905,0.6871080139372823,4
IND_4,Murder,0.22072890593212585,0.32587859424920124,0.11428571428571428,0.6981254040077569,4
IND_5,Murder,0.21556550789253365,0.2712082262210797,0.19047619047619047,0.8634505314799673,5
IND_6,Murder,0.186361339706859,0.3062117235345582,0.17536534446764096,0.8,5
IND_7,Murder,0.29779682224219206,0.3870417732310315,0.23076923076923078,0.8,4
IND_8,Murder,0.24730496350236258,0.33271028037383177,0.299137104506232,0.7705779334500875,5
IND_9,Murder,0.34085492438168236,0.43911980440097803,0.2608695652173913,0.841046277665996,5
IND_10,Murder,0.35538780062603786,0.48817966903073284,0.27586206896551724,0.7816091954022987,4
IND_11,Robbery,0.5429643986747955,0.5419354838709678,0.3652173913043478,0.6153846153846154,4
IND_12,Robbery,0.20252880653317504,0.3267838676318511,0.14035087719298245,0.6612641815235007,4
IND_13,Robbery,0.25084746744962766,0.28383705650459923,0.0975609756097561,0.7949526813880127,5
IND_14,Robbery,0.26257841949999394,0.335832083958021,0.16326530612244897,0.785824345146379,4
IND_15,Robbery,0.2536164703355164,0.3750695603784085,0.11359026369168357,0.717391304347826,4
IND_16,Robbery,0.20520022585108752,0.29326287978863935,0.11764705882352942,0.6593406593406592,4
IND_17,Robbery,0.20720015322363172,0.29268292682926833,0.15686274509803919,0.7272727272727274,4
IND_18,Robbery,0.4470569251371815,0.4238287309959665,0.2596537949400799,0.779324055666004,3
IND_19,Robbery,0.1142853504603501,0.17763157894736842,0.07868852459016394,0.7735849056603773,3
IND_20,Robbery,0.29633902108269333,0.43908472479901056,0.2303473491773309,0.6804123711340206,4
IND_21,Land Dispute,0.11753877393858508,0.17223134464513776,0.08859060402684564,0.6591116321479744,3
IND_22,Land Dispute,0.2642976878843116,0.3240223463687151,0.20710059171597633,0.56875,4
IND_23,Land Dispute,0.2218485716735179,0.28776978417266186,0.16666666666666666,0.6246246246246246,4
IND_24,Land Dispute,0.17965989272732358,0.2521207338725587,0.06829268292682927,0.7612456747404844,3
IND_25,Land Dispute,0.23842372638849493,0.47496947496947506,0.20338983050847456,0.8934169278996865,5
